ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,model_family,watchlist_reason,event_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence,financial_persistence_score,roic_above_wacc_years,cyclicality,model_confidence,risk_flags
AJG,Arthur J. Gallagher & Co.,NYSE,common_stock,False,1984-06-20,Financial Services,Insurance - Brokers,US,256942000.0,0.533,56758487800.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,220.9,2026-06-11,56758487800.0,418706821.0446875,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,The Allstate Corporation,NYSE,common_stock,False,1993-06-03,Financial Services,Insurance - Property & Casualty,US,257421000.0,0.192,57492406140.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,219.57,2026-06-11,56521928970.0,338168790.7621875,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET,"MetLife, Inc.",NYSE,common_stock,False,2000-04-05,Financial Services,Insurance - Life,US,643437000.0,0.783,55419228810.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,87.58,2026-06-11,56352212460.0,279840269.4771875,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,State Street Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Asset Management,US,276767032.99969673,1.451,45625045390.049995,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,164.85,2026-06-11,45625045390.00001,297960437.7709375,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARES,Ares Management Corporation,NYSE,common_stock,False,2014-05-02,Financial Services,Asset Management,US,328414956.00060236,1.516,42894277403.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,132.82,2026-06-11,43620074456.00001,384633778.15125,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCI,MSCI Inc.,NYSE,common_stock,False,2007-11-15,Financial Services,Financial - Data & Stock Exchanges,US,72800000.0,1.226,43563520000.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,594.31,2026-06-11,43265767999.99999,344001715.9040625,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTR,"Ventas, Inc.",NYSE,common_stock,False,1997-05-05,Real Estate,REIT - Healthcare Facilities,US,486169722.9943974,0.734,40094417055.81,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,83.89,2026-06-11,40784778062.0,354634530.07406247,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP,"Ameriprise Financial, Inc.",NYSE,common_stock,False,2005-09-15,Financial Services,Asset Management,US,89897100.0,1.166,40380878349.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,450.38,2026-06-11,40487855898.0,300116902.3728125,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCI,Crown Castle Inc.,NYSE,common_stock,False,1998-08-18,Real Estate,REIT - Specialty,US,436451982.9965232,0.948,40171040515.32,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,92.04,2026-06-11,40171040515.0,308978773.2328125,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIG,"American International Group, Inc.",NYSE,common_stock,False,1973-01-02,Financial Services,Insurance - Diversified,US,530206221.00371754,0.541,39935132565.71999,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,75.32,2026-06-11,39935132566.0,327035721.67,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKT,"Rocket Companies, Inc.",NYSE,common_stock,False,2020-08-06,Financial Services,Financial - Mortgages,US,2824014183.991065,2.198,37926510491.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,13.43,2026-06-11,37926510491.0,359625046.6896875,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,Iron Mountain Incorporated,NYSE,common_stock,False,1996-02-01,Real Estate,REIT - Specialty,US,297524681.0018375,1.218,37241164320.770004,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,125.17,2026-06-11,37241164321.0,188669405.860625,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRU,"Prudential Financial, Inc.",NYSE,common_stock,False,2001-12-13,Financial Services,Insurance - Life,US,347325107.00403714,0.855,36404881090.205,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,106.51,2026-06-11,36993597147.0,215073985.4209375,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIG,"The Hartford Financial Services Group, Inc.",NYSE,common_stock,False,1995-12-15,Financial Services,Insurance - Property & Casualty,US,274130820.0,0.475,35354651855.4,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,128.4,2026-06-11,35198397288.0,220062367.0425,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTB,M&T Bank Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Banks - Regional,US,146445059.9991221,0.587,32793442285.8,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,227.82,2026-06-11,33363113569.0,234832448.3759375,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICI,VICI Properties Inc.,NYSE,common_stock,False,2018-01-02,Real Estate,REIT - Specialty,US,1076780187.0152972,0.676,30774377744.46,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,28.09,2026-06-11,30246755453.259697,237936490.7825,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,"Raymond James Financial, Inc.",NYSE,common_stock,False,1983-07-01,Financial Services,Financial - Capital Markets,US,194883033.99813855,0.951,29314305974.28,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,150.42,2026-06-11,29314305973.999996,205438644.289375,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFG,"Citizens Financial Group, Inc.",NYSE,common_stock,False,2014-09-24,Financial Services,Banks - Regional,US,422881999.99999994,1.021,27470414719.999996,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,66.51,2026-06-11,28125881820.0,284500544.726875,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVB,"AvalonBay Communities, Inc.",NYSE,common_stock,False,1994-03-11,Real Estate,REIT - Residential,US,141872000.0,0.789,26155521920.000004,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,184.36,2026-06-11,26155521920.000004,192756086.13125,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRB,W. R. Berkley Corporation,NYSE,common_stock,False,1973-10-23,Financial Services,Insurance - Property & Casualty,US,372276999.99999994,0.311,25143588580.000004,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,67.54,2026-06-11,25143588580.0,152558943.0903125,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQR,Equity Residential,NYSE,common_stock,False,1993-08-12,Real Estate,REIT - Residential,US,374671999.99999994,0.764,25331573920.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,66.65,2026-06-11,24971888800.0,178612426.915,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,Regions Financial Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Banks - Regional,US,853380000.0,1.027,24654148200.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,28.89,2026-06-11,24654148200.0,322828437.9503125,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYF,Synchrony Financial,NYSE,common_stock,False,2014-07-31,Financial Services,Financial - Credit Services,US,336370242.0019356,1.321,23434914760.14,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,72.33,2026-06-11,24329659604.0,273373891.178125,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY,KeyCorp,NYSE,common_stock,False,1987-11-05,Financial Services,Banks - Regional,US,1084230000.0,1.041,23831375400.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,22.33,2026-06-11,24210855900.0,268318187.0228125,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKL,Markel Corporation,NYSE,common_stock,False,1986-12-12,Financial Services,Insurance - Property & Casualty,US,12513710.0,0.673,22786715087.4,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,1830.0,2026-06-11,22900089300.0,127862506.88374999,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,Loews Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Insurance - Property & Casualty,US,205768872.99990687,0.535,22093403894.010002,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,107.37,2026-06-11,22093403894.0,80915062.32,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRO,"Brown & Brown, Inc.",NYSE,common_stock,False,1981-02-11,Financial Services,Insurance - Brokers,US,338948000.0,0.624,20035216280.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,59.95,2026-06-11,20319932600.0,211183611.833125,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESS,"Essex Property Trust, Inc.",NYSE,common_stock,False,1994-06-07,Real Estate,REIT - Residential,US,64262900.00000001,0.729,18291791856.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,280.59,2026-06-11,18031527111.0,123622802.519375,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVH,Invitation Homes Inc.,NYSE,common_stock,False,2017-02-01,Real Estate,REIT - Residential,US,594042000.0,0.853,17732153700.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,29.45,2026-06-11,17494536900.0,156074934.061875,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM,Kimco Realty Corporation,NYSE,common_stock,False,1991-11-22,Real Estate,REIT - Retail,US,674390000.0,0.981,17365542500.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,25.75,2026-06-11,17365542500.0,118465059.40125,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPC,W. P. Carey Inc.,NYSE,common_stock,False,1998-01-21,Real Estate,REIT - Diversified,US,222739000.0,0.781,16892525760.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,75.58,2026-06-11,16834613620.0,98495740.000625,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,"Franklin Resources, Inc.",NYSE,common_stock,False,1983-09-23,Financial Services,Asset Management,US,519637161.99308395,1.593,16228268569.26,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,31.81,2026-06-11,16529658123.0,143232919.8415625,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
